"2022-11-30 04:13:04am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-s-lightgrey-vnky8c75-18 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16"
"2022-11-30 04:13:07am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '16' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16 "," R: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-s-lightgrey-vnky8c75-18"
"2022-11-30 04:13:13am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '17' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-xl-teal-vnky8c75-17 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16"
"2022-11-30 04:13:16am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '24' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-xxl-green-vnky8c75-24 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-xl-teal-vnky8c75-17"
"2022-11-30 04:13:29am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '24' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-xxl-green-vnky8c75-24 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-xl-teal-vnky8c75-17"
"2022-11-30 04:13:32am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-s-lightgrey-vnky8c75-18 "," R: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-xxl-green-vnky8c75-24"
"2022-11-30 04:13:34am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '15' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-m-teal-vnky8c75-15 "," R: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-s-lightgrey-vnky8c75-18"
"2022-11-30 04:13:36am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '16' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-m-teal-vnky8c75-15"
"2022-11-30 04:13:46am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-l-lightgrey-vnky8c75-20 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16"
"2022-11-30 04:21:49am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-l-lightgrey-vnky8c75-20 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16"
"2022-11-30 04:21:57am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-s-lightgrey-vnky8c75-18 "," R: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-l-lightgrey-vnky8c75-20"
"2022-11-30 04:22:00am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-s-lightgrey-vnky8c75-18 "," R: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-s-lightgrey-vnky8c75-18"
"2022-11-30 04:29:25am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '18' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-s-lightgrey-vnky8c75-18 "," R: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-s-lightgrey-vnky8c75-18"
