"2022-11-29 00:53:05am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('40', 2, '112', NULL, NULL, '2022-11-29 00:53:05') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/40"
"2022-11-29 00:53:05am "," update "," UPDATE product_details SET `image` = '1.webp|2.jpg|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '40' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/40"
"2022-11-29 00:53:12am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `vendor_id`, `brand_id`, `category_id`, `child_category`, `qty`, `element_id`, `attributes_id`, `unit_price`, `mrp_price`, `discount`, `discount_amt`, `net_price`, `tax`, `tag`, `gst_amt`, `image`, `cover_img`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `warranty_title`, `warranty_detail`, `created_by`, `created`, `is_active`, `stock`) VALUES('Men Blue Slim Fit Pure Cotton Solid Casual Shirt - (Duplicate)', 'Product-07', 'men-blue-slim-fit-pure-cotton-solid-casual-shirt-l-sky-vne98q7y-40', 'Men Blue Slim Fit Pure Cotton Solid Casual Shirt', '<div class=""row""><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Size &amp; Fit</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Fabric</span></strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Neck</span></strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Sleeve Styling</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', '2', '68', '1', '10', '', NULL, NULL, '1200', '1344', '50', '50'_amt, '672', '12', NULL, '144', '1.webp|2.jpg|3.webp|4.webp|5.webp', 'cover_image.webp', '1', '0', '0', '', '', '', '', '', '1', '2022-11-29', 0, '20') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 00:53:12am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('41', '1', '3', '2022-11-29 00:53:12') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 00:53:12am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('41', '2', '112', '2022-11-29 00:53:12') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 00:53:24am "," update "," UPDATE product_details SET `product_name` = 'Men Blue Slim Fit Pure Cotton Solid Casual Shirt', `product_code` = 'Product-07', `short_code` = 'men-blue-slim-fit-pure-cotton-solid-casual-shirt-xl-sky-vne98q7y-41', `short_description` = 'Men Blue Slim Fit Pure Cotton Solid Casual Shirt', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Size &amp; Fit</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Fabric</span></strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Neck</span></strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Sleeve Styling</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', `brand_id` = '68', `category_id` = '1', `child_category` = '10', `vendor_id` = '2', `unit_price` = '1200', `mrp_price` = 1344, `discount` = '50', `net_price` = 672, `tax` = '12', `qty` = '', `gst_amt` = 144, `discount_amt` = '50'_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-11-29 00:53:24', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '41' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/41"
"2022-11-29 00:53:24am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('41', 1, '4', NULL, NULL, '2022-11-29 00:53:24') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/41"
"2022-11-29 00:53:24am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('41', 2, '112', NULL, NULL, '2022-11-29 00:53:24') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/41"
"2022-11-29 00:53:24am "," update "," UPDATE product_details SET `image` = '1.webp|2.jpg|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '41' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/41"
"2022-11-29 00:53:35am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `vendor_id`, `brand_id`, `category_id`, `child_category`, `qty`, `element_id`, `attributes_id`, `unit_price`, `mrp_price`, `discount`, `discount_amt`, `net_price`, `tax`, `tag`, `gst_amt`, `image`, `cover_img`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `warranty_title`, `warranty_detail`, `created_by`, `created`, `is_active`, `stock`) VALUES('Men Blue Slim Fit Pure Cotton Solid Casual Shirt - (Duplicate)', 'Product-07', 'men-blue-slim-fit-pure-cotton-solid-casual-shirt-xl-sky-vne98q7y-41', 'Men Blue Slim Fit Pure Cotton Solid Casual Shirt', '<div class=""row""><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Size &amp; Fit</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Fabric</span></strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Neck</span></strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Sleeve Styling</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', '2', '68', '1', '10', '', NULL, NULL, '1200', '1344', '50', '50'_amt, '672', '12', NULL, '144', '1.webp|2.jpg|3.webp|4.webp|5.webp', 'cover_image.webp', '1', '0', '0', '', '', '', '', '', '1', '2022-11-29', 0, '20') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 00:53:35am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('42', '1', '4', '2022-11-29 00:53:35') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 00:53:35am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('42', '2', '112', '2022-11-29 00:53:35') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 00:53:46am "," update "," UPDATE product_details SET `product_name` = 'Men Blue Slim Fit Pure Cotton Solid Casual Shirt', `product_code` = 'Product-07', `short_code` = 'men-blue-slim-fit-pure-cotton-solid-casual-shirt-xxl-sky-vne98q7y-42', `short_description` = 'Men Blue Slim Fit Pure Cotton Solid Casual Shirt', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Size &amp; Fit</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Fabric</span></strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Neck</span></strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Sleeve Styling</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', `brand_id` = '68', `category_id` = '1', `child_category` = '10', `vendor_id` = '2', `unit_price` = '1200', `mrp_price` = 1344, `discount` = '50', `net_price` = 672, `tax` = '12', `qty` = '', `gst_amt` = 144, `discount_amt` = '50'_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-11-29 00:53:46', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '42' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/42"
"2022-11-29 00:53:46am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('42', 1, '5', NULL, NULL, '2022-11-29 00:53:46') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/42"
"2022-11-29 00:53:46am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('42', 2, '112', NULL, NULL, '2022-11-29 00:53:46') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/42"
"2022-11-29 00:53:46am "," update "," UPDATE product_details SET `image` = '1.webp|2.jpg|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '42' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/42"
